Ngày;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48
17/1/2021;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;984.1;988.3;988.3;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4
18/1/2021;1058.0;1058.0;1058.0;1058.0;1058.0;1058.0;1058.0;1058.0;1058.0;1058.0;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1058.1;1058.0;1058.0;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5
19/1/2021;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4
20/1/2021;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1060.3;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4
21/1/2021;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1061.5;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4;1069.4
22/1/2021;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.6;1061.6;1061.6;1061.6;1061.5;1061.5;1061.5;1061.5;1061.5;1052.4;1061.5;1061.5;1061.5;1061.5;1061.6;1061.6;1061.6;1061.6;1061.6;1061.6;1061.6;1061.6;1061.6;1061.6;1061.6;1061.6;1061.6;1061.6;1061.6;1061.6;1061.6;1061.5;1061.5;1061.5
23/1/2021;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1011.0;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7
24/1/2021;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.4;988.4;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.3;970.3;976.7;984.0;986.5;988.3;988.3;988.3;988.3;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.3;988.3;988.3
25/1/2021;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4
26/1/2021;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4
27/1/2021;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.8;966.8;966.8;966.8;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.7;966.7;966.7
28/1/2021;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6
29/1/2021;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5;945.5
30/1/2021;918.6;918.6;918.6;918.6;918.6;918.6;918.6;918.6;918.6;918.6;918.6;918.6;918.6;918.7;918.6;918.7;918.6;918.6;918.6;914.4;914.3;912.1;914.4;916.8;916.9;918.6;918.6;918.6;918.6;918.6;918.6;918.6;918.6;918.6;918.7;918.7;918.7;918.7;918.7;918.7;918.7;918.7;918.7;918.7;918.6;918.6;918.6;918.6
31/1/2021;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.7;966.7;966.7
02/01/2021;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4
02/02/2021;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8
02/03/2021;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7
02/04/2021;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.5;964.5;964.5;964.5;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.5;964.5;964.5;964.5;964.5;964.5;964.5;964.5;964.5;964.5;964.5;964.5;964.5;964.5;964.5;964.5;964.4;964.4;964.4;964.4
02/05/2021;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4
02/06/2021;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.7;963.7;963.7;963.7;963.7;963.7;963.7;963.7;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.7;963.7;963.7;963.7;963.7;963.7;963.7;963.7;963.7;963.7;963.7;963.7;963.7;963.7;963.7;963.7;963.7;963.7;963.6;963.6
02/07/2021;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;962.1;962.1;962.1;962.1;963.6;963.6;963.6;963.6;963.6;963.7;963.7;963.7;963.7;963.7;963.7;963.7;963.7;963.7;963.7;963.7;963.7;963.6;963.6;963.6;963.6
02/08/2021;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6
02/09/2021;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;910.5;898.0;881.5;893.5;908.2;907.7;907.7;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1
02/10/2021;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;895.9;881.5;876.1;876.1;881.5;881.5;881.5;893.5;904.4;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1
02/11/2021;916.8;916.8;916.8;916.8;916.8;916.8;916.8;916.8;916.8;916.8;916.8;916.8;916.8;916.8;916.8;916.8;916.8;916.8;916.8;898.2;876.1;861.8;865.9;876.1;876.1;876.1;896.5;911.3;916.8;916.8;916.8;916.8;916.8;916.8;916.8;916.8;916.8;916.8;916.8;916.8;916.8;916.8;916.8;916.8;916.8;916.8;916.8;916.8
02/12/2021;888.5;888.5;888.5;888.5;888.5;888.5;888.5;888.5;888.5;888.5;888.5;888.5;888.5;888.5;888.5;888.5;888.5;888.5;881.5;861.2;782.8;756.1;782.8;865.9;865.9;865.9;865.9;865.9;876.1;881.5;888.5;888.5;888.5;888.5;888.5;888.5;888.5;888.5;888.5;888.5;888.5;888.5;888.5;888.5;888.5;888.5;888.5;888.5
13/2/2021;894.6;894.6;894.6;894.6;894.6;894.6;894.6;894.6;894.6;894.6;894.6;894.6;894.6;894.6;894.6;894.6;894.6;894.6;894.6;865.9;815.8;762.8;815.8;865.9;865.9;865.9;865.9;876.1;881.5;894.6;894.6;894.6;894.6;894.6;894.6;894.6;894.6;894.6;894.6;894.6;894.6;894.6;894.6;894.6;894.6;894.6;894.6;894.6
14/2/2021;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;899.9;881.5;865.9;865.9;865.9;865.9;865.9;876.1;881.5;903.0;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1;912.1
15/2/2021;890.2;890.2;890.2;890.2;890.2;890.2;890.2;890.2;890.2;890.2;890.2;890.2;890.2;890.2;890.2;890.2;890.2;890.2;890.2;876.1;865.9;865.9;865.9;876.1;876.1;876.1;881.5;888.4;890.2;890.2;890.2;890.2;890.2;890.2;890.2;890.2;890.2;890.2;890.2;890.2;890.2;890.2;890.2;890.2;890.2;890.2;890.2;890.2
16/2/2021;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;949.5;951.5;953.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6
17/2/2021;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.7;963.7;963.7;963.7;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.7;963.7;963.7;963.7;963.7;963.7;963.7;963.7;963.7;963.7;963.7;963.7;963.7;963.7;963.7;963.7;963.7;963.6;963.6;963.6
18/2/2021;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4
19/2/2021;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4
20/2/2021;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4
21/2/2021;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;963.6;945.5;946.1;951.5;963.6;963.6;963.6;963.6;963.6;963.6;963.7;963.7;963.7;963.7;963.7;963.7;963.7;963.7;963.7;963.7;963.7;963.7;963.6;963.6;963.6;963.6
22/2/2021;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.4;988.4;988.4;988.4;988.4;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.3
23/2/2021;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.3;988.3;988.3;988.3;988.3;988.3;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.3;988.3
24/2/2021;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.4;988.4;988.4;988.4;988.4;988.4;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.3;988.3
25/2/2021;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4
26/2/2021;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.1;1002.1;1002.1;1002.1;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.0;1002.0;1002.0
27/2/2021;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4
28/2/2021;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;963.6;963.6;963.6;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.5;964.5;964.5;964.5;964.5;964.5;964.5;964.5;964.5;964.5;964.5;964.4;964.4;964.4;964.4
03/01/2021;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.4;988.4;988.4;988.4;988.4;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.3;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.3;988.3
03/02/2021;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7
03/03/2021;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4
03/04/2021;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.1;1002.1;1002.1;1002.1;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.0;1002.0;1002.0
